    ,Location,Technology       ,Tweet                                                                                                                                                                          ,Sentiment_Score
79  ,TX      ,iot              ,"RT @MikeQuindazzi: Cafe X develops $25,000 #robotic barista - pouring 120 cups of coffee per hour @MikeQuindazzi #AI #Robots #Robotics #IoT\u2026"                            ,0
80  ,TX      ,iot              ,"RT @AdosiaIO: Dev backend env GUI is nearly perfect. Next, a slick user control panel to manage Adosia #iot h/w.  #progress #blockchain #te\u2026"                            ,1
81  ,TX      ,iot              ,2018-05-17T04:21:27.736Z security garage vmotion                                                                                                                               ,0
82  ,TX      ,iot              ,RT @MikeQuindazzi: AI augments #human ability to perform tasks faster or with more precision - but what's next? &gt;&gt; #PwC via @MikeQuindazzi\u2026                         ,1
83  ,TX      ,iot              ,"RT @MikeQuindazzi: 54 different #ElectricVehicles! including 25 #battery electric (#ev), 26 plug-in #hybrids (#phev) and 3 #fuelcell vehicl\u2026"                            ,0
84  ,TX      ,iot              ,"RT @MikeQuindazzi: Cafe X develops $25,000 #robotic barista - pouring 120 cups of coffee per hour @MikeQuindazzi #AI #Robots #Robotics #IoT\u2026"                            ,0
85  ,TX      ,iot              ,RT @BlockchainBlake: Senate barely passes resolution to restore net neutrality: #machinelearning #ai #iot mt: @Mikequindazzi https://t.co/0\u2026                              ,0
86  ,TX      ,iot              ,RT @MikeQuindazzi: The #WearableTech Xenxo Smart Ring provides #bluetooth connectivity to your #smartphone to make a call or #virtualassist\u2026                              ,1
87  ,TX      ,iot              ,RT @HaroldSinnott: 21% of #enterprises lack confidence in their #skills and #talent required for #4IR and #EmergingTechnologies. https://t.\u2026                              ,0
88  ,TX      ,iot              ,RT @MikeQuindazzi: #4IR technology applications for a low-carbon economy &gt;&gt; #PwC HT @techmenttech via @MikeQuindazzi &gt;&gt; #IoT #Autonomous #v\u2026                  ,1
89  ,TX      ,iot              ,"RT @MikeFeibus: 802.11ax #WiFi standard is not about the number on the box. It's about capacity and efficiency, @Qualcomm's Shravan Surinen\u2026"                            ,0
90  ,TX      ,iot              ,RT @BlockchainBlake: YouTube Music launches Tuesday; YouTube Red to be replaced with more expensive YouTube Premium: #machinelearning #ai #\u2026                              ,0
91  ,TX      ,iot              ,RT @HaroldSinnott: #VC-backed #startups developing #AI technology increased 6x since 2000 &gt;&gt; via @MikeQuindazzi &gt;&gt; #ArtificialIntelligence\u2026                   ,0
92  ,TX      ,iot              ,RT @Victoria_Ball_0: Best Windows tablets 2018: the top Windows tablets reviewed: #BigData #MachineLearning #AI #IoT MT @worldtrendsinfo ht\u2026                              ,1
93  ,TX      ,iot              ,"RT @MalaAnand_: Yesterday during the keynote at #IoTWorld, I talked about how #IoT is a key enabler of digital transformation and is part o\u2026"                            ,0
94  ,TX      ,iot              ,RT @MalaAnand_: Loved seeing our team at the @SAP booth here at #IoTWorld in Santa Clara and the impressive demos! #IoT #digitaltransformat\u2026                              ,1
95  ,TX      ,iot              ,RT @Victoria_Ball_0: The state of #SocialMedia : The Rise of the Urban Cloud Infographic @Cyber_Phish @PD_MobileApps @MikeQuindazzi @mallys\u2026                              ,0
96  ,TX      ,iot              ,IT pros worry about #IoT but not prepared to secure it. @darkreading @kg4gwa  #infosec #IoTSecurity\u2026 https://t.co/wLHCTotEvQ                                              ,1
97  ,TX      ,iot              ,RT @MikeQuindazzi: State of the Markets and #IPOs Q1 2018 &gt;&gt; @SVB_Financial via @MikeQuindazzi &gt;&gt; #startups #icos #fintech #socialmedia #ai\u2026                  ,0
98  ,TX      ,iot              ,"RT @MikeFeibus: 802.11ax #WiFi standard is not about the number on the box. It's about capacity and efficiency, @Qualcomm's Shravan Surinen\u2026"                            ,0
99  ,TX      ,iot              ,RT @__iot__: How AI and #IoT Smart Sensors Are Preserving a Lake Ecosystem https://t.co/KEP2VPHerb https://t.co/eJHULhpThD                                                     ,1
100 ,TX      ,iot              ,RT @IoTBigData: #ArtificialIntelligence giving rise to the \u201cfourth productivity impact\u201d beyond basic #automation: the rise of the fourth wa\u2026                    ,0
101 ,TX      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/IU23x9aiRf                              ,0
102 ,TX      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/Xkxd20sZCU                              ,0
103 ,TX      ,iot              ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/25VtXLnHhO                              ,0
